"shard","sequence_index","join_strategy","official_task_id","official_trial_id","official_category","official_difficulty","official_tags","official_passed","official_reward","official_max_score","official_score_eligible","official_artifact_refs_len","official_time_used","official_infra_failure_type","official_error_type","local_task_id","task_identity_source","task_identity_confidence","task_identity_candidates","top_family","contract_family","output_family","selected_solver_key","selected_solver_name","selected_source","workspace_visible","wrote_any_file","ok_writes","write_count","write_paths","primary_outputs","expected_outputs","output_candidates","final_artifact_refs_len","final_artifact_refs_candidate_len","artifact_outputs_len","diagnostic_ref_count","scoring_channel","output_channel","artifact_refs_role","filesystem_primary","route_events","warnings","errors","diagnosis","evidence_confidence","source_files"
"0","0","sequence_order","3d-scan-calc","3d-scan-calc__agentbeats__9c305e78","industrial-physical-systems","hard","[""binary-parsing"",""algorithm"",""3d-geometry"",""stl""]","false","0.0","1.0","true","0","57.942","","","307d1fb7-fe5f-45a8-ac4a-6874f94857ed","unresolved","0.0","","csv_output","security_config","security_config","security_config","","","true","true","2","2","[""/root/mass_report.json"",""/root/material_density_table.md""]","[""/root/mass_report.json""]","[""/root/mass_report.json""]","[""/root/material_density_table.md"",""/root/mass_report.json""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""agent_run_completed"":1,""direct_adapter_complete"":1,""direct_adapter_start"":1,""executor_skillsbench_entered"":1,""workspace_executor_complete"":1,""workspace_executor_start"":1}","[""selected_solver_key=security_config""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-0.txt"
"0","1","sequence_order","court-form-filling","court-form-filling__agentbeats__c3ab08be","office-white-collar","easy","[""pdf"",""form-filling"",""legal"",""document-automation""]","false","0.0","1.0","true","0","60.063","","","30add811-0fad-46bb-8eba-8e37fa7cfe0e","unresolved","0.0","","pdf_document","pdf_document","pdf_document","pdf_document","","","true","true","2","2","[""/root/sc100-blank.pdf"",""/root/sc100-filled.pdf""]","[""/root/sc100-filled.pdf""]","[""/root/sc100-blank.pdf""]","[""/root/sc100-blank.pdf"",""/root/sc100-filled.pdf""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""direct_adapter_complete"":1,""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""selected_solver_key=pdf_document""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-0.txt"
"0","2","sequence_order","dynamic-object-aware-egomotion","dynamic-object-aware-egomotion__agentbeats__231307c4","industrial-physical-systems","medium","[""video"",""egomotion"",""spatial-reasoning""]","false","0.0","1.0","true","0","65.76","","","0aa83898-fd08-4899-a0ef-b60a1723076c","unresolved","0.0","","office_pptx","office_pptx","office_pptx","office_pptx","","","true","true","1","1","[""/root/answer.json""]","","","[""/root/pred_instructions.json"",""/root/answer.json""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""agent_run_completed"":1,""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1,""workspace_executor_complete"":1}","[""No output requirements detected; attempting best-effort answer.json fallback."",""generic no-requirements fallback wrote /root/answer.json""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-0.txt"
"0","3","sequence_order","energy-unit-commitment","energy-unit-commitment__agentbeats__6e025bc4","industrial-physical-systems","hard","[""energy"",""unit-commitment"",""mixed-integer-optimization"",""day-ahead-scheduling"",""power-system-operations""]","false","0.0","1.0","true","0","54.487","","","c5962d03-8a50-48d6-ab08-47d2780a7f0e","unresolved","0.0","","json_output","security_config","security_config","security_config","","","true","true","2","2","[""/root/network.json"",""/root/report.json""]","[""/root/report.json""]","[""/root/network.json""]","[""/root/network.json"",""/root/report.json"",""/root/answer.json""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""selected_solver_key=security_config""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-0.txt"
"0","4","sequence_order","fix-build-agentops","fix-build-agentops__agentbeats__b0111f23","software-engineering","easy","[""Python"",""agentops"",""AgentOps-AI/agentops"",""software"",""build"",""compilation"",""ci"",""github actions"",""debugging""]","false","0.0","1.0","true","0","231.683","","","ce768dea-8bb6-416d-97de-e6c22e070537","unresolved","0.0","","markdown_output","code_solution","code_solution","code_solution","","","true","true","2","2","[""/root/workspace/solution.py"",""/home/github/build/failed/failed_reasons.txt""]","[""/home/github/build/failed/""]","[""/home/github/build/failed/""]","[""/home/github/build/failed/failed_reasons.txt"",""/home/github/build/failed/""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""direct_adapter_complete"":1,""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""selected_solver_key=code_solution""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-0.txt"
"0","5","sequence_order","gh-repo-analytics","gh-repo-analytics__agentbeats__266f6991","software-engineering","medium","[""github"",""gh-cli"",""data-analysis"",""ci-cd"",""devops""]","false","0.0","1.0","true","0","56.696","","","f650adfd-b61a-45e2-babf-4f6eba8c2d1b","unresolved","0.0","","lean_solution","general_file_output","general_file_output","general_file_output","","","true","true","1","1","[""/root/answer.json""]","","","[""/root/answer.json""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""event"":1,""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""No output requirements detected; attempting best-effort answer.json fallback."",""generic no-requirements fallback wrote /root/answer.json""]","","filesystem_outputs_written+final_refs_present+official_refs_empty+generic_family","high","13_Run scenario — shard-0.txt"
"0","6","sequence_order","jpg-ocr-stat","jpg-ocr-stat__agentbeats__9ce8d94f","office-white-collar","hard","[""image ocr"",""data statistics""]","false","0.0","1.0","true","0","58.465","","","97350a5b-edb4-4571-88a6-21d9f2a12d68","unresolved","0.0","","office_xlsx","office_xlsx","office_xlsx","office_xlsx","","","true","true","1","1","[""/app/workspace/stat_ocr.xlsx""]","[""/app/workspace/stat_ocr.xlsx""]","[""/app/workspace/stat_ocr.xlsx""]","[""/app/workspace/stat_ocr.xlsx"",""/workspace/stat_ocr.xlsx""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""selected_solver_key=office_xlsx""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-0.txt"
"0","7","sequence_order","manufacturing-equipment-maintenance","manufacturing-equipment-maintenance__agentbeats__b0743af8","industrial-physical-systems","medium","[""question and answer"",""reflow machine maintenance"",""data analysis"",""reasoning""]","false","0.0","1.0","true","0","58.135","","","e5c43f8d-efa0-45cb-bd49-8fd045d16000","unresolved","0.0","","pdf_document","security_config","security_config","security_config","","","true","true","5","5","[""/app/output/q01.json"",""/app/output/q02.json"",""/app/output/q03.json"",""/app/output/q04.json"",""/app/output/q05.json""]","[""/app/output/q01.json"",""/app/output/q02.json"",""/app/output/q03.json"",""/app/output/q04.json"",""/app/output/q05.json""]","[""/app/output/q01.json""]","[""/app/output/q01.json"",""/app/output/q02.json""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1,""workspace_executor_complete"":1}","[""selected_solver_key=security_config""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-0.txt"
"0","8","sequence_order","paper-anonymizer","paper-anonymizer__agentbeats__97c5500e","office-white-collar","medium","[""pdf"",""redaction"",""anonymization"",""blind-review""]","false","0.0","1.0","true","0","63.053","","","10dc55fa-e1cb-4c7c-9f72-f3ae428bac33","unresolved","0.0","","pdf_document","pdf_document","pdf_document","pdf_document","","","true","true","1","1","[""/root/redacted/paper{1-3}.pdf""]","[""/root/redacted/paper{1-3}.pdf""]","[""/root/redacted/paper{1-3}.pdf"",""/root/redacted""]","[""/root/paper{1-3}.pdf"",""/root/redacted/paper{1-3}.pdf"",""/root/redacted""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""selected_solver_key=pdf_document""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-0.txt"
"0","9","sequence_order","pg-essay-to-audiobook","pg-essay-to-audiobook__agentbeats__ca015f48","media-content-production","medium","[""tts"",""audiobook"",""web-scraping"",""openai-tts"",""elevenlabs"",""gtts""]","false","0.0","1.0","true","0","70.781","","","98238953-f27b-4ce3-a34a-347839c33086","unresolved","0.0","","audio","general_file_output","general_file_output","general_file_output","","","true","true","1","1","[""/root/answer.json""]","","","[""/root/answer.json""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""No output requirements detected; attempting best-effort answer.json fallback."",""generic no-requirements fallback wrote /root/answer.json""]","","filesystem_outputs_written+final_refs_present+official_refs_empty+generic_family","high","13_Run scenario — shard-0.txt"
"0","10","sequence_order","radar-vital-signs","radar-vital-signs__agentbeats__241971d7","natural-science","medium","[""radar"",""signal-processing"",""biomedical"",""vital-signs"",""python""]","false","0.0","1.0","true","0","62.456","","","4169a909-3416-49cd-98da-4cc8b995e3b0","unresolved","0.0","","csv_output","security_config","security_config","security_config","","","true","true","2","2","[""/app/workspace/results.csv"",""/root/results.csv""]","[""/app/workspace/results.csv"",""/root/results.csv""]","[""/app/workspace/results.csv""]","[""/root/results.csv""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1,""workspace_executor_complete"":1}","[""selected_solver_key=security_config""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-0.txt"
"0","11","sequence_order","shock-analysis-demand","shock-analysis-demand__agentbeats__0f11dfba","finance-economics","medium","[""excel"",""finance"",""macrofinance"",""office""]","false","0.0","1.0","true","0","87.754","","","057a338f-627e-4080-bce2-191ab0e65544","unresolved","0.0","","office_xlsx","office_xlsx","office_xlsx","office_xlsx","","","true","true","1","1","[""/app/workspace/test_demand.xlsx""]","[""/app/workspace/test_demand.xlsx""]","[""/app/workspace/test_demand.xlsx""]","[""/root/answer.json""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""selected_solver_key=office_xlsx""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-0.txt"
"0","12","sequence_order","taxonomy-tree-merge","taxonomy-tree-merge__agentbeats__c29dd057","office-white-collar","hard","[""taxonomy-alignment"",""hierarchical-clustering"",""embeddings"",""nlp"",""ecommerce"",""ontology-merging""]","false","0.0","1.0","true","0","121.801","","","a0dc137e-bc9c-4103-b960-f1c1a99ffd00","unresolved","0.0","","csv_output","security_config","security_config","security_config","","","true","true","1","1","[""/app/workspace/unified_taxonomy_full.csv""]","[""/app/workspace/unified_taxonomy_full.csv"",""/root/data""]","[""/app/workspace/unified_taxonomy_full.csv""]","","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""event"":1,""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""selected_solver_key=security_config""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-0.txt"
"0","13","sequence_order","video-tutorial-indexer","video-tutorial-indexer__agentbeats__43f62506","media-content-production","hard","[""video"",""speech-to-text"",""nlp"",""tutorial"",""education"",""multimodal""]","false","0.0","1.0","true","0","262.565","","","5422772c-77ad-4c26-941e-1998f74a1e03","unresolved","0.0","","general_file_output","security_config","security_config","security_config","","","true","true","1","1","[""/root/tutorial_index.json""]","[""/root/tutorial_index.json""]","[""/root/tutorial_index.json""]","[""/root/tutorial_index.json""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""event"":2,""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""selected_solver_key=security_config""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-0.txt"
"1","0","sequence_order","ada-bathroom-plan-repair","ada-bathroom-plan-repair__agentbeats__e9ff0ea0","industrial-physical-systems","hard","[""cad"",""dxf"",""accessibility"",""geometry"",""ada"",""spatial-reasoning""]","false","0.0","1.0","true","0","58.753","","","1566dfb2-efcf-4269-8db4-f27f71c31922","unresolved","0.0","","csv_output","security_config","security_config","security_config","","","true","true","2","2","[""/root/input/ada_rules.json"",""/root/input/layer_schema.json""]","[""/root/input/ada_bath_input.dxf"",""/root/input/ada_rules.json"",""/root/input/layer_schema.json""]","[""/root/input/ada_bath_input.dxf"",""/root/input""]","","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""agent_run_completed"":1,""direct_adapter_complete"":1,""direct_adapter_start"":1,""executor_skillsbench_entered"":1,""workspace_executor_complete"":1,""workspace_executor_start"":1}","[""selected_solver_key=security_config""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-1.txt"
"1","1","sequence_order","crystallographic-wyckoff-position-analysis","crystallographic-wyckoff-position-analysis__agentbeats__648644a3","natural-science","medium","[""crystallography"",""pymatgen"",""sympy"",""wyckoff_positions"",""symmetry_analysis""]","false","0.0","1.0","true","0","62.173","","","77b0d63d-dbe4-406b-b04f-07187b9f0442","unresolved","0.0","","general_file_output","code_solution","code_solution","code_solution","","","true","true","1","1","[""/root/workspace/solution.py""]","[""/root/workspace/solution.py""]","[""/root/workspace/solution.py"",""/root/workspace""]","[""/root/workspace/solution.py"",""/root/workspace"",""/workspace/solution.py""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""agent_run_completed"":1,""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1,""workspace_executor_complete"":1}","[""selected_solver_key=code_solution""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-1.txt"
"1","2","sequence_order","earthquake-phase-association","earthquake-phase-association__agentbeats__21c985a9","natural-science","hard","[""science"",""earth-science"",""seismology"",""ai4science""]","false","0.0","1.0","true","0","107.757","","","407ef7d5-850c-4838-b430-94dfcd69c459","unresolved","0.0","","csv_output","security_config","security_config","security_config","","","true","true","1","1","[""/root/results.csv""]","[""/root/results.csv""]","[""/root/results.csv""]","[""/root/results.csv"",""/root/answer.json""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""selected_solver_key=security_config""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-1.txt"
"1","3","sequence_order","enterprise-information-search","enterprise-information-search__agentbeats__8e0ba891","office-white-collar","hard","[""information-retrieval"",""question-answering"",""heterogeneous-data""]","false","0.0","1.0","true","0","60.235","","","bf6c3f51-a722-4e93-9e20-654f11a10421","unresolved","0.0","","json_output","security_config","security_config","security_config","","","true","true","2","2","[""/root/answer.json"",""/root/question.txt""]","[""/root/answer.json""]","[""/root/answer.json""]","[""/root/question.txt"",""/root/answer.json""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""selected_solver_key=security_config""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-1.txt"
"1","4","sequence_order","fix-build-google-auto","fix-build-google-auto__agentbeats__f01eac77","software-engineering","easy","[""Java"",""maven"",""google/auto"",""software"",""build"",""compilation"",""ci"",""travis"",""debugging""]","false","0.0","1.0","true","0","212.208","","","c72b67fa-c69a-4ccc-a091-b0676fffa44b","unresolved","0.0","","markdown_output","code_solution","code_solution","code_solution","","","true","true","1","1","[""/root/answer.json""]","","","","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""direct_adapter_complete"":1,""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""No output requirements detected; attempting best-effort answer.json fallback."",""generic no-requirements fallback wrote /root/answer.json""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-1.txt"
"1","5","sequence_order","glm-lake-mendota","glm-lake-mendota__agentbeats__497c5979","natural-science","hard","[""hydrology"",""lake-modeling"",""parameter-calibration""]","false","0.0","1.0","true","0","69.976","","","4d5d2469-f1e4-44f7-a029-844343e1fc1c","unresolved","0.0","","csv_output","security_config","security_config","security_config","","","true","true","1","1","[""/root/field_temp_oxy.csv""]","[""/root/bcs"",""/root/field_temp_oxy.csv""]","[""/root/bcs""]","[""/root/field_temp_oxy.csv"",""/root/answer.json""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""selected_solver_key=security_config""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-1.txt"
"1","6","sequence_order","lab-unit-harmonization","lab-unit-harmonization__agentbeats__1739bf82","natural-science","medium","[""bioinformatics"",""clinical"",""unit-conversion"",""data-harmonization"",""chronic-kidney-disease""]","false","0.0","1.0","true","0","60.784","","","27008e7f-746d-4580-9c58-d581ddc52704","unresolved","0.0","","csv_output","security_config","security_config","security_config","","","true","true","1","1","[""/root/ckd_lab_data_harmonized.csv""]","[""/root/ckd_lab_data_harmonized.csv""]","[""/root/ckd_lab_data_harmonized.csv""]","[""/root/environment/data/ckd_lab_data.csv"",""/root/environment/data"",""/root/environment/data/ckd_feature_descriptions.csv"",""/root/environment/dat""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""selected_solver_key=security_config""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-1.txt"
"1","7","sequence_order","manufacturing-fjsp-optimization","manufacturing-fjsp-optimization__agentbeats__8961c853","industrial-physical-systems","medium","[""optimization"",""manufacturing"",""flexible job shop planning""]","false","0.0","1.0","true","0","54.623","","","108bb361-15bd-4abe-bc3e-5c96547c28e2","unresolved","0.0","","csv_output","security_config","security_config","security_config","","","true","true","2","2","[""/app/output/schedule.csv"",""/app/output/solution.json""]","[""/app/output/schedule.csv"",""/app/output/solution.json""]","[""/app/output/schedule.csv""]","[""/app/output/solution.json"",""/app/output/schedule.csv""]","4","4","4","4","filesystem_output_primary","filesystem_output_primary","diagnostic_and_compatibility_signal","true","{""executor_skillsbench_before_terminal_flush"":1,""executor_skillsbench_entered"":1,""final_response_contract_emit"":1}","[""selected_solver_key=security_config""]","","filesystem_outputs_written+final_refs_present+official_refs_empty","high","13_Run scenario — shard-1.txt"
